,Negative,Neutral,Positive
0,0,1,0
1,0,1,0
2,0,0.661,0.339
3,0.062,0.893,0.046
4,0.046,0.811,0.143
5,0.053,0.841,0.107
6,0.07,0.872,0.059
7,0,0.64,0.36
8,0,0.905,0.095
9,0.09,0.75,0.16
10,0.027,0.892,0.082
11,0.772,0.228,0
12,0.236,0.764,0
13,0,1,0
14,0.132,0.726,0.142
15,0.045,0.623,0.332
16,0,0.435,0.565
17,0.12,0.88,0
18,0.846,0.154,0
19,0,0.847,0.153
20,0,0.762,0.238
21,0,1,0
22,0,0.777,0.223
23,0.157,0.843,0
24,0.078,0.922,0
25,0.244,0.666,0.09
26,0.021,0.889,0.09
27,0,0.122,0.878
28,0,0.367,0.633
29,0,1,0
30,0.211,0.789,0
31,0.163,0.693,0.144
32,0.298,0.702,0
33,0,0.868,0.132
34,0.192,0.703,0.105
35,0,1,0
36,0,1,0
37,0,0.696,0.304
38,0.137,0.863,0
39,0.177,0.704,0.119
40,0,0.429,0.571
41,0,0.762,0.238
42,0,1,0
43,0.16,0.467,0.374
44,0,0.342,0.658
45,0,0.741,0.259
46,0.149,0.851,0
47,0.117,0.883,0
48,0.074,0.926,0
49,0.06,0.94,0
50,0,0.484,0.516
51,0.218,0.702,0.081
52,0,0.796,0.204
53,0,0.707,0.293
54,0,0.715,0.285
55,0.105,0.765,0.13
56,0.029,0.695,0.276
57,0,0.719,0.281
58,0.118,0.882,0
59,0,1,0
60,0.12,0.88,0
61,0.337,0.582,0.081
62,0.099,0.901,0
63,0,0.588,0.412
64,0,1,0
65,0,1,0
66,0.109,0.877,0.013
67,0,1,0
68,0.147,0.853,0
69,0,1,0
70,0,0.368,0.632
71,0,0.618,0.382
72,0.128,0.719,0.154
73,0,0.522,0.478
74,0,1,0
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0.444,0.556
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0.408,0.592
84,0,0.756,0.244
85,0,0.677,0.323
86,0,0.357,0.643
87,0,0.721,0.279
88,0.133,0.542,0.325
89,0.299,0.428,0.273
90,0,0.491,0.509
91,0,0.573,0.427
92,0.444,0.556,0
93,0,0.596,0.404
94,0,1,0
95,0.525,0.475,0
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0.628,0.372
100,0,0,1
101,0,0,1
102,0,0.579,0.421
103,0.583,0.417,0
104,0,0.71,0.29
105,0,0.423,0.577
106,0,0.606,0.394
107,0,0.605,0.395
108,0,0,1
109,0,0,1
110,0.846,0.154,0
111,0.068,0.84,0.092
112,0,0.588,0.412
113,0,0.408,0.592
114,0,0.263,0.737
115,0,0.385,0.615
116,0,1,0
117,0.116,0.884,0
118,0,0.854,0.146
119,0,1,0
120,0.535,0.465,0
121,0.133,0.783,0.084
122,0,0.676,0.324
123,0,1,0
124,0.688,0.312,0
125,0.148,0.852,0
126,0.205,0.795,0
127,0,1,0
128,0,0.775,0.225
129,0,0.496,0.504
130,0,0.435,0.565
131,0.081,0.919,0
132,0,0.674,0.326
133,0,0.572,0.428
134,0,0.385,0.615
135,0,0.492,0.508
136,0,0.182,0.818
137,0,0.59,0.41
138,0,0.238,0.762
139,0.636,0.364,0
140,0.203,0.589,0.209
141,0,1,0
142,0,0.745,0.255
143,0,0,1
144,0,0.141,0.859
145,0,0.484,0.516
146,0,0.136,0.864
147,0,0.238,0.762
148,0,0.488,0.512
149,0,0.408,0.592
150,0,0,1
151,0,1,0
152,0,1,0
153,0,0.74,0.26
154,0.219,0.618,0.163
155,0,0.615,0.385
156,0,1,0
157,0,0.741,0.259
158,0,0.611,0.389
159,0.091,0.909,0
160,0.204,0.702,0.095
161,0.116,0.784,0.1
162,0.496,0.504,0
163,0.137,0.863,0
164,0.315,0.685,0
165,0.162,0.741,0.098
166,0.15,0.574,0.276
167,0.241,0.759,0
168,0.069,0.805,0.126
169,0,1,0
170,0,0.643,0.357
171,0,0.826,0.174
172,0,1,0
173,0,0.351,0.649
174,0,1,0
175,0,0.838,0.162
176,0.196,0.804,0
177,0.636,0.364,0
178,0,1,0
179,0,1,0
180,0,1,0
181,0,0.371,0.629
182,0,0.383,0.617
183,0,0.47,0.53
184,0,0.774,0.226
185,0,0.609,0.391
186,0,0,1
187,0.121,0.879,0
188,0.132,0.729,0.139
189,0.188,0.718,0.094
190,0.276,0.619,0.106
191,0.112,0.816,0.071
192,0,0.408,0.592
193,0,1,0
194,0,0.423,0.577
195,0.394,0.606,0
196,0,0.494,0.506
197,0.069,0.644,0.287
198,0.238,0.762,0
199,0,0.66,0.34
200,0,0.474,0.526
201,0,0.654,0.346
202,0.101,0.795,0.105
203,0,0.632,0.368
204,0.142,0.684,0.174
205,0,0.937,0.063
206,0,0.48,0.52
207,0,0.472,0.528
208,0.115,0.479,0.406
209,0,0.213,0.787
210,0.256,0.617,0.127
211,0.052,0.829,0.119
212,0,0.693,0.307
213,0.086,0.506,0.408
214,0,0.377,0.623
215,0,0.556,0.444
216,0.464,0.536,0
217,0,1,0
218,0,0.294,0.706
219,0,0.896,0.104
220,0,1,0
221,0,0.68,0.32
222,0,0.256,0.744
223,0,1,0
224,0,0.727,0.273
225,0,0.715,0.285
226,0,1,0
227,0,0.58,0.42
228,0,0.684,0.316
229,0,0.73,0.27
230,0,0.758,0.242
231,0,0.687,0.313
232,0.312,0.688,0
233,0,1,0
234,0.133,0.867,0
235,0.143,0.857,0
236,0.217,0.667,0.117
237,0.156,0.778,0.067
238,0,0.842,0.158
239,0,0.563,0.437
240,0.096,0.789,0.115
241,0.098,0.833,0.069
